teff logg z mg ca
5952 4.13 0.22 0.619 -0.111
5553 4.86 -0.504 0.181 0.121
5750 4.67 -0.22 -0.178 0.553
5612 4.53 0.266 0.621 0.789
5397 4.75 -0.269 0.575 -0.028
5420 4.71 -0.287 0.068 0.389
5218 4.82 0.024 0.238 0.503
5118 4.78 0.064 0.252 0.57
5683 4.17 0.49 0.532 -0.011
5654 4.62 -0.151 0.284 0.077
5113 4.55 -0.845 0.446 0.044
5787 4.26 0.122 0.228 -0.078
5653 4.21 0.31 0.7 -0.159
5919 4.11 -0.509 -0.017 0.36
5076 4.11 0.157 0.691 0.707
5042 4.55 -0.957 0.654 0.468
5519 4.39 0.418 0.67 0.202
5339 4.63 0.083 0.243 0.244
5513 4.68 -0.107 0.613 0.516
5916 4.8 -0.921 0.68 0.227
5899 4.21 0.469 0.518 0.081
5448 4.58 -0.275 0.078 0.484
5917 4.31 0.492 -0.023 0.392
5614 4.77 -0.438 0.559 -0.155
5711 4.86 0.103 0.647 0.114
5092 4.46 -0.176 0.628 0.786
5592 4.55 0.345 0.684 -0.092
5711 4.38 -0.503 0.666 0.01
5466 4.18 -0.841 0.703 0.343
5064 4.2 -0.244 0.696 0.699
5532 4.12 0.381 -0.05 0.659
5824 4.69 0.276 0.666 0.716
5727 4.89 -0.405 -0.026 0.473
5113 4.61 0.282 0.087 -0.023
5546 4.78 -0.682 0.648 -0.119
5107 4.11 0.273 -0.12 0.265
5385 4.21 -0.119 0.401 0.552
5953 4.29 -0.899 0.407 0.214
5353 4.64 -0.258 0.215 0.515
5199 4.95 0.381 0.591 0.493
5112 4.74 -0.958 0.34 0.285
5624 4.11 -0.745 0.182 0.589
5422 4.98 0.116 0.799 -0.077
5736 4.88 -0.517 0.674 0.653
5499 4.26 -0.817 0.282 0.675
5408 4.97 -0.741 -0.177 0.65
5487 5.0 0.423 -0.011 -0.067
5160 4.43 0.022 0.699 -0.022
5601 4.74 0.134 0.752 0.316
5967 4.84 0.032 0.047 0.288
5426 4.43 -0.44 0.295 0.684
5485 4.37 -0.747 -0.047 0.669
5088 4.71 -0.507 0.636 0.17
5909 4.7 -0.936 0.366 0.515
5117 4.98 0.301 0.188 -0.001
5306 4.61 -0.641 0.025 -0.162
5532 4.97 -0.933 0.166 0.57
5616 4.25 0.336 0.012 0.377
5322 4.36 -0.827 0.361 0.561
5151 4.46 0.001 0.221 0.377
5315 4.89 -0.965 0.116 0.09
5279 4.77 -0.387 0.373 0.644
5806 4.99 -0.519 0.119 -0.088
5731 4.53 -0.535 0.682 0.397
5023 4.16 -0.166 0.733 0.201
5726 4.05 -0.89 0.578 -0.16
5200 4.58 -0.826 0.504 0.525
5210 4.49 0.259 0.624 -0.099
5121 4.69 0.047 0.48 0.522
5377 4.42 -0.078 0.306 0.683
5199 4.19 -0.039 0.64 -0.108
5323 4.43 0.446 0.415 -0.177
5797 4.93 -0.788 0.582 0.191
5595 4.34 -0.601 0.311 0.553
5177 4.43 -0.509 0.441 -0.127
5064 4.42 0.234 0.764 -0.029
5550 4.6 -0.752 0.734 0.73
5547 4.36 -0.428 0.756 -0.124
5635 4.67 -0.595 -0.031 0.713
5949 4.5 -0.303 0.728 -0.101
5205 4.2 -0.873 0.082 0.199
5399 4.34 -0.954 0.438 0.267
5169 4.98 -0.699 0.109 0.649
5258 4.03 -0.203 0.163 0.011
5170 4.12 -0.01 0.58 0.296
5850 4.3 -0.918 0.57 0.734
5923 4.44 -0.155 0.767 0.377
5439 4.28 0.042 -0.143 0.225
5149 4.84 -0.641 0.044 0.413
5364 4.44 -0.352 0.693 0.425
5559 4.05 -0.74 -0.087 0.374
5768 4.18 -0.581 -0.04 -0.078
5841 4.28 -0.126 0.084 0.682
5165 4.25 0.123 0.058 0.338
5479 4.52 0.137 0.247 0.343
5205 4.17 0.147 -0.181 -0.055
5095 4.64 -0.574 -0.005 0.484
5769 4.86 -0.663 -0.182 -0.132
5811 4.56 -0.733 0.158 0.744
5690 4.17 -0.46 0.217 -0.01
5795 4.49 -0.212 0.289 0.763
5240 4.9 0.182 -0.089 0.146
5611 4.62 -0.818 -0.014 0.232
5164 4.4 0.343 0.348 0.402
5060 4.92 -0.914 0.131 -0.089
5474 4.94 0.262 0.717 0.101
5904 4.07 0.32 0.642 0.095
5172 4.07 -0.399 0.618 0.55
5439 4.18 0.102 0.179 0.699
5517 4.47 0.418 -0.149 -0.049
5491 4.88 0.409 0.22 0.783
5894 4.18 -0.433 0.146 0.49
5292 4.16 0.466 -0.01 0.107
5258 4.21 0.443 0.403 0.694
5570 4.55 -0.687 0.104 0.302
5223 4.5 -0.108 0.645 -0.192
5370 4.18 -0.263 0.761 0.16
5578 4.64 -0.12 0.713 0.772
5636 4.83 -0.471 0.368 0.304
5951 4.71 0.441 0.362 0.342
5871 4.61 -0.597 0.386 -0.107
5659 4.24 -0.388 -0.02 0.629
5778 4.14 -0.821 0.334 0.287
5547 4.5 -0.436 0.674 0.326
5854 4.33 -0.731 0.438 -0.033
5247 4.94 -0.055 -0.167 0.799
5153 4.19 -0.545 0.671 0.692
5765 4.14 0.179 0.69 0.207
5381 4.99 0.094 0.379 0.225
5693 4.05 0.305 0.144 0.717
5953 4.45 0.435 0.064 -0.089
5438 4.37 -0.801 0.772 0.607
5946 4.4 0.032 0.344 0.475
5020 4.29 0.053 0.464 0.13
5417 4.71 -0.787 0.738 0.636
5366 4.15 0.127 0.644 0.21
5949 4.13 -0.098 0.075 0.231
5219 4.13 -0.96 0.65 -0.123
5155 4.08 -0.896 0.61 0.781
5342 4.24 -0.266 0.742 0.125
5886 4.52 0.016 0.598 0.57
5440 4.05 0.172 0.475 -0.032
5758 4.6 0.245 -0.008 0.582
5222 4.32 -0.201 0.169 0.079
5894 4.07 -0.05 -0.033 -0.15
5191 4.76 -0.669 0.186 0.556
5921 4.67 -0.41 0.296 0.496
5616 4.59 -0.823 -0.116 0.729
5964 4.25 -0.057 0.632 0.055
5301 4.88 -0.317 0.263 0.293
5510 4.94 -0.258 0.272 -0.031
5814 4.51 -0.175 0.245 -0.169
5686 4.37 -0.218 0.695 0.766
5370 4.77 -0.102 -0.107 0.398
5890 4.47 -0.845 -0.198 0.16
5719 4.25 -0.846 0.135 -0.03
5504 4.24 0.477 -0.01 0.49
5872 4.44 -0.292 0.419 0.39
5800 4.5 0.476 -0.11 -0.124
5982 4.47 -0.685 0.241 0.552
5926 4.71 0.374 -0.119 0.521
5762 4.21 -0.605 0.284 0.274
5150 4.9 0.266 -0.081 0.391
5834 4.95 0.401 0.077 0.706
5578 4.44 -0.553 0.585 -0.14
5405 4.77 0.187 0.446 0.347
5125 4.16 0.133 0.117 0.048
5054 4.82 -0.543 0.596 -0.104
5791 4.88 -0.196 0.347 0.197
5133 4.07 -0.665 0.43 -0.001
5946 5.0 -0.409 0.625 0.35
5165 4.6 -0.825 0.401 -0.133
5605 5.0 0.267 -0.172 -0.078
5554 4.01 -0.933 0.675 0.042
5676 4.29 0.033 0.177 0.084
5820 4.73 -0.121 -0.175 0.336
5563 4.54 -0.656 0.575 -0.086
5708 4.09 -0.47 0.322 0.567
5343 4.76 -0.104 0.235 0.042
5622 4.51 -0.475 0.434 -0.1
5623 4.54 0.269 0.553 0.323
5087 4.78 -0.234 0.768 0.34
5709 4.14 -0.177 0.505 0.148
5673 4.16 -0.013 0.37 0.4
5491 4.24 -0.984 0.214 0.221
5348 4.61 0.007 -0.036 0.088
5234 4.22 -0.744 0.252 0.507
5504 4.56 -0.614 0.209 0.028
5865 4.89 -0.53 -0.031 0.292
5523 4.08 -0.67 0.402 -0.009
5790 4.67 0.399 0.417 0.317
5065 4.91 -0.747 0.537 0.427
5644 4.07 -0.984 0.599 -0.03
5192 4.83 -0.449 0.288 0.064
5721 4.71 -0.281 0.35 0.136
5242 4.69 -0.819 0.642 0.759
5838 4.81 -0.645 0.684 0.199
5211 4.56 -0.301 0.435 0.576
5302 4.01 0.137 0.297 -0.025
5491 4.44 -0.958 0.758 0.744
5373 4.6 0.043 0.554 0.746
5098 4.67 -0.332 -0.052 -0.142
5378 4.93 -0.892 0.273 0.672
5372 4.66 -0.37 0.127 0.642
5477 4.42 -0.112 0.363 0.36
5215 4.34 0.46 0.407 -0.041
5621 4.22 -0.176 0.642 0.043
5281 4.29 -0.165 0.024 0.55
5652 4.12 0.358 0.191 -0.088
5245 4.92 0.322 0.59 0.565
5725 4.21 -0.793 -0.103 0.222
5418 4.67 -0.46 -0.022 -0.054
5406 4.16 0.326 0.162 -0.108
5477 4.85 0.065 0.539 0.101
5468 4.01 0.194 0.737 0.052
5774 4.96 -0.108 -0.051 0.739
5205 4.84 -0.081 0.548 0.393
5766 4.4 -0.574 0.039 0.718
5871 4.88 -0.974 -0.093 -0.039
5642 4.87 0.296 0.274 -0.178
5153 4.36 -0.602 0.739 0.224
5383 4.36 -0.723 -0.161 -0.084
5190 4.95 0.373 0.499 0.322
5050 4.36 -0.433 0.577 0.463
5126 4.49 -0.947 -0.062 0.488
5804 4.13 -0.873 0.683 0.784
5319 4.7 -0.713 -0.134 0.621
5668 4.44 -0.113 -0.178 0.15
5956 4.62 -0.603 -0.097 0.306
5576 4.2 -0.726 0.774 0.261
5838 4.93 0.055 0.036 0.038
5859 4.23 -0.142 -0.161 0.168
5996 4.39 -0.67 0.099 -0.199
5948 4.36 -0.234 0.607 0.153
5739 4.8 -0.696 -0.084 0.56
5795 4.55 -0.653 0.203 -0.074
5176 5.0 -0.529 0.013 0.447
5675 4.52 -0.005 0.23 0.435
5422 4.34 -0.175 -0.018 0.04
5571 4.4 -0.672 0.248 0.321
5262 4.49 -0.683 -0.164 0.783
5879 4.49 -0.564 -0.198 0.285
5179 4.51 -0.726 0.454 0.641
5463 4.62 -0.191 0.521 0.189
5155 4.78 0.474 0.577 0.396
5898 4.26 0.269 0.757 -0.05
5053 4.04 -0.33 0.616 0.643
5556 4.74 0.272 0.3 -0.048
5267 4.69 -0.597 -0.13 -0.119
5050 4.83 -0.388 0.449 0.392
5432 4.87 -0.471 0.467 0.604
5322 4.06 -0.791 0.288 0.658
5889 4.97 -0.306 0.685 0.557
5524 4.65 0.268 0.372 0.767
5886 4.8 -0.943 0.598 -0.1
5581 4.64 -0.603 0.445 -0.046
5167 4.95 -0.281 0.175 -0.16
5959 4.26 -0.204 0.632 0.606
5826 4.35 -0.27 0.264 0.774
5833 4.66 -0.805 0.705 0.228
5024 4.47 -0.927 0.341 0.465
5877 4.82 0.207 0.167 0.38
5006 4.29 -0.086 0.371 -0.102
5493 4.65 -0.187 -0.158 0.178
5032 4.23 -0.043 0.355 0.629
5347 4.11 -0.174 0.655 0.531
5949 4.44 -0.475 0.176 -0.023
5754 4.74 -0.538 0.482 0.222
5673 4.98 -0.919 0.062 0.029
5816 4.03 -0.768 0.023 0.064
5865 4.78 -0.516 0.365 0.29
5529 4.28 0.131 0.026 0.668
5266 4.93 0.255 0.031 0.469
5806 4.35 0.436 0.666 0.053
5193 4.64 -0.941 -0.067 -0.035
5460 4.52 0.085 0.381 0.056
5381 4.94 -0.978 0.336 0.702
5194 4.07 -0.484 0.089 0.022
5754 4.3 -0.984 -0.128 -0.061
5125 4.36 -0.225 0.576 0.282
5962 4.17 -0.875 0.151 0.714
5479 4.04 -0.538 0.524 -0.05
5415 4.7 -0.641 0.599 0.22
5258 4.49 0.362 0.553 -0.07
5401 4.23 0.036 0.562 0.539
5323 4.5 -0.674 0.41 0.638
5320 4.01 -0.435 0.301 0.162
5115 4.1 0.452 0.485 0.604
5089 4.75 -0.558 -0.016 0.595
5741 4.04 0.362 0.027 0.215
5755 4.72 -0.382 0.456 0.296
5653 4.35 -0.075 0.533 0.018
5136 4.15 -0.698 0.351 0.215
5339 4.57 0.231 0.152 0.494
5997 4.72 -0.962 0.233 0.507
5744 4.56 -0.769 0.164 -0.116
5220 4.26 -0.362 0.612 0.391
5476 4.89 -0.441 0.606 0.396
5101 4.62 0.216 -0.015 -0.177
5460 4.61 0.172 -0.194 0.303
5870 4.25 0.321 0.679 0.181
5643 4.17 0.426 -0.106 0.465
5088 4.37 -0.683 0.42 0.045
5950 4.21 0.039 0.479 0.495
5234 4.09 0.166 0.242 -0.164
5363 4.14 0.298 0.647 0.328
5553 4.41 0.367 0.044 0.707
5477 4.8 -0.202 0.302 0.084
5544 4.76 -0.505 0.143 -0.114
5664 4.96 -0.055 0.235 -0.133
5975 4.75 -0.597 -0.046 0.223
5600 4.63 -0.357 0.233 0.689
5700 5.0 -0.875 0.551 0.307
5351 4.14 -0.868 0.379 0.117
5451 4.22 -0.521 0.714 0.001
5519 4.15 -0.34 -0.083 -0.05
5206 4.03 -0.83 0.4 0.582
5745 4.0 0.35 0.474 0.416
5723 4.55 0.358 0.317 0.399
5158 4.63 -0.983 -0.179 0.737
5773 4.88 -0.395 -0.051 0.78
5384 4.91 -0.27 0.261 0.525
5910 4.84 -0.623 0.351 0.17
5246 4.76 0.346 -0.078 0.652
5044 4.45 0.47 0.265 -0.012
5521 4.94 0.278 0.547 0.722
5267 4.89 -0.784 0.695 0.441
5619 4.55 -0.018 0.37 -0.02
5878 4.77 -0.94 -0.128 0.739
5420 4.43 -0.702 -0.17 0.374
5395 4.89 0.019 0.253 0.761
5961 4.19 0.433 0.588 -0.103
5094 4.09 0.051 0.402 0.62
5794 4.0 0.244 0.096 0.172
5184 4.84 -0.17 0.647 0.021
5013 4.89 -0.157 0.268 -0.169
5674 4.36 -0.402 -0.151 0.271
5348 4.7 -0.364 0.26 -0.176
5651 4.69 -0.043 0.55 0.03
5257 4.25 -0.412 0.436 0.256
5095 4.76 -0.984 -0.023 0.107
5481 4.69 0.416 0.055 -0.077
5017 4.22 0.2 0.03 0.702
5076 4.87 -0.681 0.461 -0.111
5805 4.98 -0.43 0.701 0.534
5214 4.69 0.338 0.194 -0.089
5027 4.84 -0.764 0.136 0.241
5195 4.01 -0.844 -0.19 0.486
5015 4.25 0.373 0.529 0.653
5715 4.59 -0.668 -0.17 0.152
5268 4.33 -0.494 0.675 -0.139
5878 4.05 -0.795 0.78 0.24
5519 4.28 -0.398 0.555 0.271
5952 4.78 -0.731 0.591 -0.098
5358 4.89 -0.812 0.408 0.611
5366 4.36 -0.914 0.492 0.47
5373 4.63 -0.237 0.758 0.191
5139 4.24 -0.1 0.061 0.261
5663 4.97 0.227 0.38 0.325
5759 4.1 -0.348 0.258 0.763
5958 4.05 -0.73 0.658 -0.127
5578 4.51 0.382 0.37 0.092
5075 4.61 -0.727 0.436 0.546
5465 4.6 -0.282 -0.152 0.681
5898 4.27 -0.953 0.318 0.339
5553 4.49 -0.366 0.602 0.024
5034 4.7 -0.572 0.129 0.607
5993 4.4 -0.68 0.041 0.08
5957 4.58 -0.098 0.777 0.76
5461 4.91 0.283 0.587 -0.083
5754 4.47 -0.486 0.688 0.187
5565 4.14 -0.651 0.454 -0.018
5346 4.92 0.211 0.055 0.531
